date,vaccine,total_vaccinations,location
2021-04-21,Pfizer/BioNTech,1165873,Switzerland
2021-04-22,Pfizer/BioNTech,1197839,Switzerland
2021-04-23,Pfizer/BioNTech,1229680,Switzerland
2021-04-24,Pfizer/BioNTech,1239058,Switzerland
2021-04-25,Pfizer/BioNTech,1245475,Switzerland
2021-04-26,Pfizer/BioNTech,1272887,Switzerland
2021-04-27,Pfizer/BioNTech,1306441,Switzerland
2021-04-28,Pfizer/BioNTech,1341381,Switzerland
2021-04-29,Pfizer/BioNTech,1373581,Switzerland
2021-04-30,Pfizer/BioNTech,1402213,Switzerland
2021-05-01,Pfizer/BioNTech,1414916,Switzerland
2021-05-02,Pfizer/BioNTech,1421255,Switzerland
2021-05-03,Pfizer/BioNTech,1453646,Switzerland
2021-05-04,Pfizer/BioNTech,1490222,Switzerland
2021-05-05,Pfizer/BioNTech,1524209,Switzerland
2021-05-06,Pfizer/BioNTech,1559728,Switzerland
2021-05-07,Pfizer/BioNTech,1589284,Switzerland
2021-05-08,Pfizer/BioNTech,1604044,Switzerland
2021-05-09,Pfizer/BioNTech,1609726,Switzerland
2021-05-10,Pfizer/BioNTech,1642603,Switzerland
2021-05-11,Pfizer/BioNTech,1680465,Switzerland
2021-05-12,Pfizer/BioNTech,1717855,Switzerland
2021-05-13,Pfizer/BioNTech,1735187,Switzerland
2021-05-14,Pfizer/BioNTech,1764703,Switzerland
2021-05-15,Pfizer/BioNTech,1779378,Switzerland
2021-05-16,Pfizer/BioNTech,1786772,Switzerland
2021-05-17,Pfizer/BioNTech,1820155,Switzerland
2021-05-18,Pfizer/BioNTech,1857607,Switzerland
2021-05-19,Pfizer/BioNTech,1892168,Switzerland
2021-05-20,Pfizer/BioNTech,1926669,Switzerland
2021-05-21,Pfizer/BioNTech,1960582,Switzerland
2021-05-22,Pfizer/BioNTech,1974455,Switzerland
2021-05-23,Pfizer/BioNTech,1979202,Switzerland
2021-05-24,Pfizer/BioNTech,1995521,Switzerland
2021-05-25,Pfizer/BioNTech,2031398,Switzerland
2021-05-26,Pfizer/BioNTech,2067515,Switzerland
2021-05-27,Pfizer/BioNTech,2099907,Switzerland
2021-05-28,Pfizer/BioNTech,2133096,Switzerland
2021-05-29,Pfizer/BioNTech,2149081,Switzerland
2021-05-30,Pfizer/BioNTech,2158149,Switzerland
