location,date,vaccine,total_vaccinations
Latvia,2021-04-11,Pfizer/BioNTech,42789
Latvia,2021-04-11,Sinopharm/Beijing,14
Latvia,2021-04-12,Moderna,31648
Latvia,2021-04-12,Oxford/AstraZeneca,112086
Latvia,2021-04-12,Pfizer/BioNTech,43220
Latvia,2021-04-12,Sinovac,4
Latvia,2021-04-13,Johnson&Johnson,48
Latvia,2021-04-13,Moderna,32539
Latvia,2021-04-13,Oxford/AstraZeneca,113718
Latvia,2021-04-13,Pfizer/BioNTech,44466
Latvia,2021-04-14,Moderna,34423
Latvia,2021-04-14,Oxford/AstraZeneca,115783
Latvia,2021-04-14,Pfizer/BioNTech,46891
Latvia,2021-04-15,Moderna,36249
Latvia,2021-04-15,Oxford/AstraZeneca,117646
Latvia,2021-04-15,Pfizer/BioNTech,49187
Latvia,2021-04-16,Moderna,37185
Latvia,2021-04-16,Oxford/AstraZeneca,122459
Latvia,2021-04-16,Pfizer/BioNTech,52598
Latvia,2021-04-17,Moderna,37402
Latvia,2021-04-17,Oxford/AstraZeneca,127702
Latvia,2021-04-17,Pfizer/BioNTech,53424
Latvia,2021-04-18,Johnson&Johnson,49
Latvia,2021-04-18,Moderna,37500
Latvia,2021-04-18,Oxford/AstraZeneca,128099
Latvia,2021-04-18,Pfizer/BioNTech,53867
Latvia,2021-04-18,Sinopharm/Beijing,15
Latvia,2021-04-18,Sinovac,5
Latvia,2021-04-19,Moderna,38873
Latvia,2021-04-19,Oxford/AstraZeneca,128979
Latvia,2021-04-19,Pfizer/BioNTech,55641
Latvia,2021-04-20,Moderna,42905
Latvia,2021-04-20,Oxford/AstraZeneca,129959
Latvia,2021-04-20,Pfizer/BioNTech,58072
Latvia,2021-04-21,Johnson&Johnson,50
Latvia,2021-04-21,Moderna,48357
Latvia,2021-04-21,Oxford/AstraZeneca,131326
Latvia,2021-04-21,Pfizer/BioNTech,61509
Latvia,2021-04-22,Moderna,54364
Latvia,2021-04-22,Oxford/AstraZeneca,132178
Latvia,2021-04-22,Pfizer/BioNTech,64559
Latvia,2021-04-22,Sinovac,6
Latvia,2021-04-23,Moderna,58513
Latvia,2021-04-23,Oxford/AstraZeneca,133363
Latvia,2021-04-23,Pfizer/BioNTech,70063
Latvia,2021-04-24,Moderna,58938
Latvia,2021-04-24,Oxford/AstraZeneca,134025
Latvia,2021-04-24,Pfizer/BioNTech,75218
Latvia,2021-04-25,Moderna,59186
Latvia,2021-04-25,Oxford/AstraZeneca,134118
Latvia,2021-04-25,Pfizer/BioNTech,76283
Latvia,2021-04-26,Moderna,61305
Latvia,2021-04-26,Oxford/AstraZeneca,135682
Latvia,2021-04-26,Pfizer/BioNTech,77202
Latvia,2021-04-27,Johnson&Johnson,125
Latvia,2021-04-27,Moderna,64687
Latvia,2021-04-27,Oxford/AstraZeneca,138073
Latvia,2021-04-27,Pfizer/BioNTech,78902
Latvia,2021-04-27,Sinopharm/Beijing,16
Latvia,2021-04-28,Johnson&Johnson,237
Latvia,2021-04-28,Moderna,68779
Latvia,2021-04-28,Oxford/AstraZeneca,140892
Latvia,2021-04-28,Pfizer/BioNTech,86662
Latvia,2021-04-28,Sinopharm/Beijing,17
Latvia,2021-04-29,Johnson&Johnson,286
Latvia,2021-04-29,Moderna,72996
Latvia,2021-04-29,Oxford/AstraZeneca,143937
Latvia,2021-04-29,Pfizer/BioNTech,93778
Latvia,2021-04-30,Johnson&Johnson,368
Latvia,2021-04-30,Moderna,75956
Latvia,2021-04-30,Oxford/AstraZeneca,146106
Latvia,2021-04-30,Pfizer/BioNTech,100144
Latvia,2021-05-01,Johnson&Johnson,370
Latvia,2021-05-01,Moderna,76197
Latvia,2021-05-01,Oxford/AstraZeneca,146494
Latvia,2021-05-01,Pfizer/BioNTech,106381
Latvia,2021-05-01,Sinopharm/Beijing,18
Latvia,2021-05-02,Johnson&Johnson,381
Latvia,2021-05-02,Moderna,76234
Latvia,2021-05-02,Oxford/AstraZeneca,146522
Latvia,2021-05-02,Pfizer/BioNTech,107924
Latvia,2021-05-02,Sinopharm/Beijing,19
Latvia,2021-05-03,Johnson&Johnson,383
Latvia,2021-05-03,Moderna,76879
Latvia,2021-05-03,Oxford/AstraZeneca,147075
Latvia,2021-05-03,Pfizer/BioNTech,109705
Latvia,2021-05-04,Johnson&Johnson,387
Latvia,2021-05-04,Moderna,76976
Latvia,2021-05-04,Oxford/AstraZeneca,147087
Latvia,2021-05-04,Pfizer/BioNTech,118441
Latvia,2021-05-05,Johnson&Johnson,521
Latvia,2021-05-05,Moderna,80873
Latvia,2021-05-05,Oxford/AstraZeneca,149872
Latvia,2021-05-05,Pfizer/BioNTech,128390
Latvia,2021-05-06,Johnson&Johnson,689
Latvia,2021-05-06,Moderna,85212
Latvia,2021-05-06,Oxford/AstraZeneca,153760
Latvia,2021-05-06,Pfizer/BioNTech,141700
Latvia,2021-05-07,Johnson&Johnson,856
Latvia,2021-05-07,Moderna,89268
Latvia,2021-05-07,Oxford/AstraZeneca,156804
Latvia,2021-05-07,Pfizer/BioNTech,154493
Latvia,2021-05-08,Johnson&Johnson,904
Latvia,2021-05-08,Moderna,90939
Latvia,2021-05-08,Oxford/AstraZeneca,157938
Latvia,2021-05-08,Pfizer/BioNTech,163964
Latvia,2021-05-09,Johnson&Johnson,988
Latvia,2021-05-09,Moderna,90944
Latvia,2021-05-09,Oxford/AstraZeneca,157972
Latvia,2021-05-09,Pfizer/BioNTech,165482
Latvia,2021-05-10,Johnson&Johnson,1113
Latvia,2021-05-10,Moderna,92915
Latvia,2021-05-10,Oxford/AstraZeneca,160342
Latvia,2021-05-10,Pfizer/BioNTech,170529
Latvia,2021-05-10,Sinovac,8
Latvia,2021-05-11,Johnson&Johnson,1393
Latvia,2021-05-11,Moderna,95483
Latvia,2021-05-11,Oxford/AstraZeneca,162651
Latvia,2021-05-11,Pfizer/BioNTech,183403
Latvia,2021-05-12,Johnson&Johnson,1796
Latvia,2021-05-12,Moderna,99147
Latvia,2021-05-12,Oxford/AstraZeneca,165136
Latvia,2021-05-12,Pfizer/BioNTech,199460
Latvia,2021-05-13,Johnson&Johnson,2194
Latvia,2021-05-13,Moderna,102724
Latvia,2021-05-13,Oxford/AstraZeneca,167986
Latvia,2021-05-13,Pfizer/BioNTech,214738
Latvia,2021-05-14,Johnson&Johnson,2753
Latvia,2021-05-14,Moderna,105714
Latvia,2021-05-14,Oxford/AstraZeneca,171447
Latvia,2021-05-14,Pfizer/BioNTech,229206
Latvia,2021-05-15,Johnson&Johnson,2844
Latvia,2021-05-15,Moderna,106221
Latvia,2021-05-15,Oxford/AstraZeneca,172046
Latvia,2021-05-15,Pfizer/BioNTech,241322
Latvia,2021-05-16,Johnson&Johnson,2865
Latvia,2021-05-16,Moderna,106464
Latvia,2021-05-16,Oxford/AstraZeneca,172095
Latvia,2021-05-16,Pfizer/BioNTech,246065
Latvia,2021-05-17,Johnson&Johnson,3241
Latvia,2021-05-17,Moderna,109086
Latvia,2021-05-17,Oxford/AstraZeneca,174429
Latvia,2021-05-17,Pfizer/BioNTech,252435
Latvia,2021-05-18,Johnson&Johnson,4179
Latvia,2021-05-18,Moderna,113667
Latvia,2021-05-18,Oxford/AstraZeneca,176170
Latvia,2021-05-18,Pfizer/BioNTech,262170
Latvia,2021-05-18,Sinopharm/Beijing,20
Latvia,2021-05-19,Johnson&Johnson,5454
Latvia,2021-05-19,Moderna,119076
Latvia,2021-05-19,Oxford/AstraZeneca,178316
Latvia,2021-05-19,Pfizer/BioNTech,275890
Latvia,2021-05-20,Johnson&Johnson,6748
Latvia,2021-05-20,Moderna,125050
Latvia,2021-05-20,Oxford/AstraZeneca,180424
Latvia,2021-05-20,Pfizer/BioNTech,287414
Latvia,2021-05-21,Johnson&Johnson,8685
Latvia,2021-05-21,Moderna,129142
Latvia,2021-05-21,Oxford/AstraZeneca,181851
Latvia,2021-05-21,Pfizer/BioNTech,300209
Latvia,2021-05-22,Johnson&Johnson,9789
Latvia,2021-05-22,Moderna,130776
Latvia,2021-05-22,Oxford/AstraZeneca,182285
Latvia,2021-05-22,Pfizer/BioNTech,309434
Latvia,2021-05-23,Johnson&Johnson,10004
Latvia,2021-05-23,Moderna,131626
Latvia,2021-05-23,Oxford/AstraZeneca,182300
Latvia,2021-05-23,Pfizer/BioNTech,311210
Latvia,2021-05-23,Sinovac,9
Latvia,2021-05-24,Johnson&Johnson,11084
Latvia,2021-05-24,Moderna,134357
Latvia,2021-05-24,Oxford/AstraZeneca,184211
Latvia,2021-05-24,Pfizer/BioNTech,317227
Latvia,2021-05-25,Johnson&Johnson,12206
Latvia,2021-05-25,Moderna,138460
Latvia,2021-05-25,Oxford/AstraZeneca,186585
Latvia,2021-05-25,Pfizer/BioNTech,330233
Latvia,2021-05-26,Johnson&Johnson,13230
Latvia,2021-05-26,Moderna,142481
Latvia,2021-05-26,Oxford/AstraZeneca,189733
Latvia,2021-05-26,Pfizer/BioNTech,344029
Latvia,2021-05-27,Johnson&Johnson,14157
Latvia,2021-05-27,Moderna,146172
Latvia,2021-05-27,Oxford/AstraZeneca,192563
Latvia,2021-05-27,Pfizer/BioNTech,358577
Latvia,2021-05-28,Johnson&Johnson,15595
Latvia,2021-05-28,Moderna,150303
Latvia,2021-05-28,Oxford/AstraZeneca,194550
Latvia,2021-05-28,Pfizer/BioNTech,375831
Latvia,2021-05-29,Johnson&Johnson,17245
Latvia,2021-05-29,Moderna,150962
Latvia,2021-05-29,Oxford/AstraZeneca,194820
Latvia,2021-05-29,Pfizer/BioNTech,385148
Latvia,2021-05-30,Johnson&Johnson,17981
Latvia,2021-05-30,Moderna,151158
Latvia,2021-05-30,Oxford/AstraZeneca,194865
Latvia,2021-05-30,Pfizer/BioNTech,388329
Latvia,2021-05-31,Johnson&Johnson,19043
Latvia,2021-05-31,Moderna,152853
Latvia,2021-05-31,Oxford/AstraZeneca,196501
Latvia,2021-05-31,Pfizer/BioNTech,396984
Latvia,2021-06-01,Johnson&Johnson,19996
Latvia,2021-06-01,Moderna,154608
Latvia,2021-06-01,Oxford/AstraZeneca,199189
Latvia,2021-06-01,Pfizer/BioNTech,412885
Latvia,2021-06-02,Johnson&Johnson,21454
Latvia,2021-06-02,Moderna,157518
Latvia,2021-06-02,Oxford/AstraZeneca,201894
Latvia,2021-06-02,Pfizer/BioNTech,427818
Latvia,2021-06-03,Johnson&Johnson,22535
Latvia,2021-06-03,Moderna,161420
Latvia,2021-06-03,Oxford/AstraZeneca,204233
Latvia,2021-06-03,Pfizer/BioNTech,442368
Latvia,2021-06-04,Johnson&Johnson,24350
Latvia,2021-06-04,Moderna,166230
Latvia,2021-06-04,Oxford/AstraZeneca,205559
Latvia,2021-06-04,Pfizer/BioNTech,454434
Latvia,2021-06-05,Johnson&Johnson,25386
Latvia,2021-06-05,Moderna,167898
Latvia,2021-06-05,Oxford/AstraZeneca,205842
Latvia,2021-06-05,Pfizer/BioNTech,462731
Latvia,2021-06-06,Johnson&Johnson,26467
Latvia,2021-06-06,Moderna,168005
Latvia,2021-06-06,Oxford/AstraZeneca,205863
Latvia,2021-06-06,Pfizer/BioNTech,466761
Latvia,2021-06-07,Johnson&Johnson,27510
Latvia,2021-06-07,Moderna,170255
