date,vaccine,total_vaccinations,location
2021-05-18,Johnson&Johnson,299264,Italy
2021-05-18,Moderna,2416765,Italy
2021-05-18,Oxford/AstraZeneca,6154370,Italy
2021-05-18,Pfizer/BioNTech,19914345,Italy
2021-05-19,Johnson&Johnson,317710,Italy
2021-05-19,Moderna,2472423,Italy
2021-05-19,Oxford/AstraZeneca,6256027,Italy
2021-05-19,Pfizer/BioNTech,20226555,Italy
2021-05-20,Johnson&Johnson,337773,Italy
2021-05-20,Moderna,2513190,Italy
2021-05-20,Oxford/AstraZeneca,6346151,Italy
2021-05-20,Pfizer/BioNTech,20630084,Italy
2021-05-21,Johnson&Johnson,356440,Italy
2021-05-21,Moderna,2558586,Italy
2021-05-21,Oxford/AstraZeneca,6441688,Italy
2021-05-21,Pfizer/BioNTech,21043121,Italy
2021-05-22,Johnson&Johnson,394803,Italy
2021-05-22,Moderna,2625095,Italy
2021-05-22,Oxford/AstraZeneca,6528175,Italy
2021-05-22,Pfizer/BioNTech,21374872,Italy
2021-05-23,Johnson&Johnson,430788,Italy
2021-05-23,Moderna,2680294,Italy
2021-05-23,Oxford/AstraZeneca,6588704,Italy
2021-05-23,Pfizer/BioNTech,21630969,Italy
2021-05-24,Johnson&Johnson,463299,Italy
2021-05-24,Moderna,2750160,Italy
2021-05-24,Oxford/AstraZeneca,6669572,Italy
2021-05-24,Pfizer/BioNTech,21912680,Italy
2021-05-25,Johnson&Johnson,492710,Italy
2021-05-25,Moderna,2848668,Italy
2021-05-25,Oxford/AstraZeneca,6771371,Italy
2021-05-25,Pfizer/BioNTech,22163082,Italy
2021-05-26,Johnson&Johnson,523805,Italy
2021-05-26,Moderna,2957122,Italy
2021-05-26,Oxford/AstraZeneca,6878183,Italy
2021-05-26,Pfizer/BioNTech,22444847,Italy
2021-05-27,Johnson&Johnson,545896,Italy
2021-05-27,Moderna,3034334,Italy
2021-05-27,Oxford/AstraZeneca,6978344,Italy
2021-05-27,Pfizer/BioNTech,22836254,Italy
2021-05-28,Johnson&Johnson,566402,Italy
2021-05-28,Moderna,3097637,Italy
2021-05-28,Oxford/AstraZeneca,7077162,Italy
2021-05-28,Pfizer/BioNTech,23248834,Italy
2021-05-29,Johnson&Johnson,585477,Italy
2021-05-29,Moderna,3155022,Italy
2021-05-29,Oxford/AstraZeneca,7153077,Italy
2021-05-29,Pfizer/BioNTech,23621536,Italy
2021-05-30,Johnson&Johnson,604378,Italy
2021-05-30,Moderna,3195202,Italy
2021-05-30,Oxford/AstraZeneca,7203643,Italy
2021-05-30,Pfizer/BioNTech,23914319,Italy
2021-05-31,Johnson&Johnson,660918,Italy
2021-05-31,Moderna,3282423,Italy
2021-05-31,Oxford/AstraZeneca,7279706,Italy
2021-05-31,Pfizer/BioNTech,24175018,Italy
2021-06-01,Johnson&Johnson,728061,Italy
2021-06-01,Moderna,3365132,Italy
2021-06-01,Oxford/AstraZeneca,7346423,Italy
2021-06-01,Pfizer/BioNTech,24427354,Italy
2021-06-02,Johnson&Johnson,765982,Italy
2021-06-02,Moderna,3412429,Italy
2021-06-02,Oxford/AstraZeneca,7384399,Italy
2021-06-02,Pfizer/BioNTech,24716382,Italy
2021-06-03,Johnson&Johnson,803908,Italy
2021-06-03,Moderna,3465406,Italy
2021-06-03,Oxford/AstraZeneca,7449174,Italy
2021-06-03,Pfizer/BioNTech,25158544,Italy
2021-06-04,Johnson&Johnson,851886,Italy
2021-06-04,Moderna,3523852,Italy
2021-06-04,Oxford/AstraZeneca,7512122,Italy
2021-06-04,Pfizer/BioNTech,25622289,Italy
2021-06-05,Johnson&Johnson,909213,Italy
2021-06-05,Moderna,3567979,Italy
2021-06-05,Oxford/AstraZeneca,7577789,Italy
2021-06-05,Pfizer/BioNTech,26074027,Italy
2021-06-06,Johnson&Johnson,958308,Italy
2021-06-06,Moderna,3598421,Italy
2021-06-06,Oxford/AstraZeneca,7645609,Italy
2021-06-06,Pfizer/BioNTech,26439100,Italy
2021-06-07,Johnson&Johnson,995674,Italy
2021-06-07,Moderna,3644803,Italy
2021-06-07,Oxford/AstraZeneca,7721307,Italy
2021-06-07,Pfizer/BioNTech,26851063,Italy
2021-06-08,Johnson&Johnson,1036661,Italy
2021-06-08,Moderna,3706174,Italy
2021-06-08,Oxford/AstraZeneca,7802044,Italy
2021-06-08,Pfizer/BioNTech,27250473,Italy
2021-06-09,Johnson&Johnson,1075139,Italy
2021-06-09,Moderna,3773718,Italy
2021-06-09,Oxford/AstraZeneca,7888383,Italy
2021-06-09,Pfizer/BioNTech,27652690,Italy
2021-06-10,Johnson&Johnson,1108077,Italy
2021-06-10,Moderna,3816859,Italy
2021-06-10,Oxford/AstraZeneca,7963740,Italy
2021-06-10,Pfizer/BioNTech,28135541,Italy
2021-06-11,Johnson&Johnson,1132096,Italy
2021-06-11,Moderna,3856264,Italy
2021-06-11,Oxford/AstraZeneca,8027687,Italy
2021-06-11,Pfizer/BioNTech,28631462,Italy
2021-06-12,Johnson&Johnson,1147295,Italy
2021-06-12,Moderna,3901497,Italy
2021-06-12,Oxford/AstraZeneca,8054733,Italy
2021-06-12,Pfizer/BioNTech,29110601,Italy
2021-06-13,Johnson&Johnson,1153033,Italy
2021-06-13,Moderna,3951082,Italy
2021-06-13,Oxford/AstraZeneca,8072229,Italy
