location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Belgium,2021-07-09,50-59,87.38,59.54
Belgium,2021-07-09,60-69,91.83,79.59
Belgium,2021-07-09,70-79,94.91,90.18
Belgium,2021-07-09,80+,89.96,87.13
Belgium,2021-07-16,18-24,67.7,23.28
Belgium,2021-07-16,25-49,76.58,42.78
Belgium,2021-07-16,50-59,87.82,73.33
Belgium,2021-07-16,60-69,92.16,84.09
Belgium,2021-07-16,70-79,95.2,92.72
Belgium,2021-07-16,80+,90.21,87.65
Belgium,2021-07-23,18-24,69.75,30.92
Belgium,2021-07-23,25-49,77.23,55.67
Belgium,2021-07-23,50-59,88.18,77.75
Belgium,2021-07-23,60-69,92.41,87.3
Belgium,2021-07-23,70-79,95.38,93.47
Belgium,2021-07-23,80+,90.38,88.05
Belgium,2021-07-30,18-24,71.0,42.37
Belgium,2021-07-30,25-49,77.83,66.38
Belgium,2021-07-30,50-59,88.51,80.81
Belgium,2021-07-30,60-69,92.62,90.33
Belgium,2021-07-30,70-79,95.53,94.04
Belgium,2021-07-30,80+,90.51,88.41
Belgium,2021-08-06,18-24,72.18,54.51
Belgium,2021-08-06,25-49,78.48,72.98
Belgium,2021-08-06,50-59,88.84,83.16
Belgium,2021-08-06,60-69,92.84,91.23
Belgium,2021-08-06,70-79,95.68,94.45
Belgium,2021-08-06,80+,90.61,88.66
Belgium,2021-08-13,18-24,73.12,63.15
Belgium,2021-08-13,25-49,79.05,75.54
Belgium,2021-08-13,50-59,89.11,87.42
Belgium,2021-08-13,60-69,92.99,91.96
Belgium,2021-08-13,70-79,95.79,94.75
Belgium,2021-08-13,80+,90.7,88.87
Belgium,2021-08-20,18-24,73.9,68.23
Belgium,2021-08-20,25-49,79.55,76.61
Belgium,2021-08-20,50-59,89.29,87.91
Belgium,2021-08-20,60-69,93.09,92.21
Belgium,2021-08-20,70-79,95.87,94.91
Belgium,2021-08-20,80+,90.76,88.99
Belgium,2021-08-27,18-24,74.68,70.43
Belgium,2021-08-27,25-49,80.03,77.47
Belgium,2021-08-27,50-59,89.45,88.33
Belgium,2021-08-27,60-69,93.18,92.44
Belgium,2021-08-27,70-79,95.93,95.09
Belgium,2021-08-27,80+,90.82,89.12
Belgium,2021-09-03,18-24,75.49,71.72
Belgium,2021-09-03,25-49,80.5,78.17
Belgium,2021-09-03,50-59,89.6,88.65
Belgium,2021-09-03,60-69,93.26,92.6
Belgium,2021-09-03,70-79,95.99,95.2
Belgium,2021-09-03,80+,90.86,89.2
Belgium,2021-09-10,18-24,76.14,72.62
Belgium,2021-09-10,25-49,80.87,78.71
Belgium,2021-09-10,50-59,89.74,88.85
Belgium,2021-09-10,60-69,93.33,92.71
Belgium,2021-09-10,70-79,96.04,95.28
Belgium,2021-09-10,80+,90.9,89.25
Belgium,2021-09-17,18-24,76.76,73.49
Belgium,2021-09-17,25-49,81.2,79.24
Belgium,2021-09-17,50-59,89.86,89.04
Belgium,2021-09-17,60-69,93.4,92.8
Belgium,2021-09-17,70-79,96.09,95.35
Belgium,2021-09-17,80+,90.94,89.29
Belgium,2021-09-24,18-24,77.46,74.35
Belgium,2021-09-24,25-49,81.57,79.76
Belgium,2021-09-24,50-59,90.02,89.23
Belgium,2021-09-24,60-69,93.49,92.91
Belgium,2021-09-24,70-79,96.15,95.42
Belgium,2021-09-24,80+,90.99,89.34
Belgium,2021-10-01,18-24,78.1,75.19
Belgium,2021-10-01,25-49,81.92,80.24
Belgium,2021-10-01,50-59,90.15,89.4
Belgium,2021-10-01,60-69,93.58,92.99
Belgium,2021-10-01,70-79,96.21,95.48
Belgium,2021-10-01,80+,91.03,89.39
Belgium,2021-10-08,18-24,78.6,75.78
Belgium,2021-10-08,25-49,82.18,80.56
Belgium,2021-10-08,50-59,90.26,89.52
Belgium,2021-10-08,60-69,93.65,93.06
Belgium,2021-10-08,70-79,96.26,95.53
Belgium,2021-10-08,80+,91.08,89.45
Belgium,2021-10-15,18-24,79.03,76.4
Belgium,2021-10-15,25-49,82.41,80.88
Belgium,2021-10-15,50-59,90.35,89.65
Belgium,2021-10-15,60-69,93.71,93.14
Belgium,2021-10-15,70-79,96.3,95.59
Belgium,2021-10-15,80+,91.14,89.53
Belgium,2021-10-22,18-24,79.15,76.53
Belgium,2021-10-22,25-49,82.48,80.96
Belgium,2021-10-22,50-59,90.38,89.68
Belgium,2021-10-22,60-69,93.73,93.15
Belgium,2021-10-22,70-79,96.32,95.6
Belgium,2021-10-22,80+,91.15,89.55
Bulgaria,2021-01-08,18-24,0.04,0.0
Bulgaria,2021-01-08,25-49,0.18,0.0
Bulgaria,2021-01-08,50-59,0.46,0.0
Bulgaria,2021-01-08,60-69,0.39,0.0
Bulgaria,2021-01-08,70-79,0.12,0.0
Bulgaria,2021-01-08,80+,0.04,0.0
Bulgaria,2021-01-15,18-24,0.05,0.0
Bulgaria,2021-01-15,25-49,0.24,0.0
Bulgaria,2021-01-15,50-59,0.62,0.0
Bulgaria,2021-01-15,60-69,0.53,0.0
Bulgaria,2021-01-15,70-79,0.17,0.0
Bulgaria,2021-01-15,80+,0.06,0.0
Bulgaria,2021-01-22,18-24,0.06,0.01
Bulgaria,2021-01-22,25-49,0.29,0.06
Bulgaria,2021-01-22,50-59,0.72,0.17
Bulgaria,2021-01-22,60-69,0.63,0.13
Bulgaria,2021-01-22,70-79,0.2,0.04
Bulgaria,2021-01-22,80+,0.07,0.01
Bulgaria,2021-01-29,18-24,0.07,0.04
Bulgaria,2021-01-29,25-49,0.37,0.17
Bulgaria,2021-01-29,50-59,0.91,0.45
Bulgaria,2021-01-29,60-69,0.82,0.38
Bulgaria,2021-01-29,70-79,0.29,0.12
Bulgaria,2021-01-29,80+,0.12,0.04
Bulgaria,2021-02-05,18-24,0.1,0.05
Bulgaria,2021-02-05,25-49,0.51,0.23
Bulgaria,2021-02-05,50-59,1.29,0.59
Bulgaria,2021-02-05,60-69,1.13,0.51
Bulgaria,2021-02-05,70-79,0.42,0.16
Bulgaria,2021-02-05,80+,0.31,0.05
Bulgaria,2021-02-12,18-24,0.13,0.06
Bulgaria,2021-02-12,25-49,0.75,0.27
Bulgaria,2021-02-12,50-59,1.8,0.69
Bulgaria,2021-02-12,60-69,1.47,0.61
Bulgaria,2021-02-12,70-79,0.52,0.2
Bulgaria,2021-02-12,80+,0.41,0.06
Bulgaria,2021-02-19,18-24,0.32,0.07
Bulgaria,2021-02-19,25-49,1.37,0.35
Bulgaria,2021-02-19,50-59,2.88,0.88
Bulgaria,2021-02-19,60-69,2.29,0.79
Bulgaria,2021-02-19,70-79,0.95,0.28
Bulgaria,2021-02-19,80+,0.71,0.12
Bulgaria,2021-02-26,18-24,0.71,0.09
Bulgaria,2021-02-26,25-49,2.28,0.48
